0;t;Время;с
1;j;Индекс;
2;x;Координата;м
3;u;Скорость;м/с
4;eps1;Объёмное содержание натрия;
5;eps2;Объёмное содержание водорода;
6;eps3;Объёмное содержание NaOH;
7;T1;Температура натрия;К
8;T2;Температура водорода;К
9;T3;Температура NaOH;К
10;p;Давление;Па
11;urho;Расход смеси;кг/с
12;rho;Плотность смеси;кг/м3
13;rho1;Плотность натрия;кг/м3
14;rho2;Плотность водорода;кг/м3
15;rho3;Плотность NaOH;кг/м3
16;gsrc;Отладочная информация gsrc;
17;sigma1nu;Отладочная информация sigma1nu;
18;a1;Отладочная информация a1;
19;a7;Отладочная информация a7;
20;inf;Отладочная информация;
